store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,year,month,day,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,predict_value
415,6,0,0,0,0,2015,3,1,True,False,False,False,36.57708
27,6,0,0,0,0,2013,12,29,True,False,False,False,-10.310828
404,2,657,1,1,0,2014,3,19,True,False,False,False,6753.336
683,1,862,1,0,0,2013,1,29,True,False,False,False,7126.2373
920,2,591,1,1,0,2014,3,19,True,False,False,False,6431.912
758,3,569,1,0,0,2014,6,26,True,False,False,False,4215.2314
563,0,321,1,1,0,2015,2,16,True,False,False,False,3462.0442
930,5,1367,1,0,0,2014,11,22,True,False,False,False,7419.767
756,3,0,0,1,0,2015,6,4,False,True,False,False,41.453564
49,1,546,1,1,0,2015,1,13,True,False,False,False,8301.078
787,3,968,1,0,1,2015,7,23,True,False,False,False,8187.89
782,3,472,1,0,0,2013,9,19,True,False,False,False,4354.6016
897,6,0,0,0,0,2014,4,20,True,False,False,False,1.5571613
933,0,965,1,0,0,2013,12,9,True,False,False,False,7164.424
218,1,804,1,0,1,2015,4,7,True,False,False,False,6182.1616
554,2,499,1,1,1,2013,10,9,True,False,False,False,5466.228
362,0,1337,1,1,1,2013,8,12,True,False,False,False,12234.919
655,2,560,1,0,0,2014,4,9,True,False,False,False,4960.08
785,2,461,1,0,1,2014,12,31,True,False,False,False,4200.7173
690,2,866,1,1,0,2014,3,19,True,False,False,False,8610.427
1103,6,0,0,0,0,2015,2,15,True,False,False,False,9.248881
431,0,1367,1,1,0,2014,6,2,True,False,False,False,14390.233
127,1,642,1,1,0,2013,9,24,True,False,False,False,7068.375
579,4,0,0,1,1,2013,3,29,False,False,True,False,-18.133127
248,5,1139,1,0,0,2013,8,3,True,False,False,False,8192.329
962,5,0,0,0,0,2014,1,11,True,False,False,False,-15.67858
224,1,515,1,1,1,2013,3,26,True,False,False,False,6913.717
208,2,355,1,1,1,2013,6,19,True,False,False,False,3564.1584
401,0,1063,1,1,0,2015,3,30,True,False,False,False,11929.091
503,6,0,0,0,0,2013,9,29,True,False,False,False,12.169776
221,3,562,1,1,0,2015,3,5,True,False,False,False,5664.566
268,6,0,0,0,0,2014,11,2,True,False,False,False,-1.3752756
799,1,927,1,1,1,2013,8,27,True,False,False,False,10658.11
260,5,894,1,0,0,2014,10,25,True,False,False,False,7682.8574
1041,1,594,1,0,0,2015,3,10,True,False,False,False,4793.144
350,1,533,1,1,0,2013,6,18,True,False,False,False,7332.598
286,6,0,0,0,0,2015,4,5,True,False,False,False,20.494236
620,1,709,1,1,0,2013,6,4,True,False,False,False,8220.431
521,0,484,1,1,0,2013,6,17,True,False,False,False,5875.5596
649,3,435,1,1,0,2014,11,27,True,False,False,False,4444.8223
1059,1,1239,1,1,0,2015,6,2,True,False,False,False,11264.967
486,5,373,1,0,0,2014,6,28,True,False,False,False,3909.5396
252,3,642,1,0,0,2013,10,17,True,False,False,False,6454.8643
656,2,421,1,1,0,2013,5,15,True,False,False,False,3838.038
642,4,394,1,0,0,2014,9,12,True,False,False,False,3158.5613
655,4,761,1,1,0,2015,5,8,True,False,False,False,7568.166
992,2,627,1,0,0,2013,6,26,True,False,False,False,4875.5146
143,1,731,1,1,0,2015,6,2,True,False,False,False,7660.0947
421,4,941,1,1,1,2014,7,18,True,False,False,False,7767.492
246,3,1157,1,1,0,2014,10,2,True,False,False,False,9379.367
960,0,720,1,1,0,2014,4,28,True,False,False,False,7621.264
313,4,697,1,0,0,2014,1,17,True,False,False,False,5927.25
291,5,534,1,0,0,2013,6,29,True,False,False,False,4794.2114
924,5,333,1,0,0,2014,5,31,True,False,False,False,3510.829
337,1,430,1,1,1,2013,8,13,True,False,False,False,6073.479
1024,3,607,1,0,0,2015,3,12,True,False,False,False,4884.223
56,2,402,1,1,0,2014,1,22,True,False,False,False,5559.431
507,2,532,1,0,0,2014,4,9,True,False,False,False,4999.824
970,4,406,1,0,0,2013,3,15,True,False,False,False,3013.539
846,1,828,1,0,0,2015,6,23,True,False,False,False,6652.28
549,2,582,1,0,0,2014,8,27,True,False,False,False,4971.4585
1095,3,852,1,1,1,2013,3,28,True,False,False,False,8286.391
859,4,709,1,1,0,2013,4,12,True,False,False,False,6565.434
914,1,1178,1,1,1,2014,7,29,True,False,False,False,12068.798
888,1,634,1,0,0,2015,6,23,True,False,False,False,5847.216
442,1,517,1,1,0,2014,11,4,True,False,False,False,5723.0825
34,5,905,1,0,0,2013,3,9,True,False,False,False,7777.1387
199,3,581,1,0,0,2014,7,10,True,False,False,False,6193.9146
854,3,657,1,1,0,2015,6,4,False,True,False,False,6490.27
611,1,485,1,1,0,2014,1,21,True,False,False,False,8121.8438
808,3,528,1,0,1,2015,4,9,True,False,False,False,5849.0835
1105,3,410,1,0,0,2015,1,22,True,False,False,False,4016.374
866,4,445,1,0,0,2015,4,24,True,False,False,False,5485.6772
222,5,367,1,0,0,2013,9,28,True,False,False,False,3610.646
476,1,753,1,1,0,2013,9,24,True,False,False,False,8150.17
800,0,494,1,0,0,2014,5,26,True,False,False,False,4864.5894
330,0,408,1,0,0,2014,3,24,True,False,False,False,3521.7478
507,2,648,1,1,0,2015,1,7,True,False,False,False,7248.403
98,6,0,0,0,0,2013,6,2,True,False,False,False,11.014762
1026,1,1044,1,0,0,2014,1,28,True,False,False,False,7563.061
990,4,719,1,0,0,2013,10,4,True,False,False,False,5050.0425
8,5,345,1,0,0,2015,1,10,True,False,False,False,3417.6794
611,2,566,1,1,1,2013,7,31,True,False,False,False,6294.6504
257,1,777,1,1,0,2013,8,13,True,False,False,False,8153.048
840,3,1189,1,1,0,2015,4,16,True,False,False,False,12240.28
848,4,998,1,1,1,2015,7,31,True,False,False,False,8761.581
124,5,297,1,0,0,2014,7,12,True,False,False,False,2780.1636
1028,1,438,1,0,1,2013,12,31,True,False,False,False,3906.8115
95,1,1099,1,1,0,2013,9,24,True,False,False,False,11310.991
208,0,323,1,0,0,2013,10,28,True,False,False,False,2381.3562
249,1,449,1,0,0,2014,7,8,True,False,False,False,4263.2744
887,2,614,1,1,0,2013,3,20,True,False,False,False,6859.2896
73,0,601,1,1,1,2014,4,28,True,False,False,False,6256.524
13,3,501,1,1,1,2015,4,2,True,False,False,False,5825.6836
1049,1,580,1,0,1,2013,9,3,True,False,False,False,4533.5728
144,3,769,1,1,0,2015,2,5,True,False,False,False,8170.3164
847,2,1018,1,1,1,2013,8,14,True,False,False,False,9428.606
796,2,717,1,0,0,2013,5,8,True,False,False,False,6546.8887
396,3,1139,1,0,0,2015,6,11,True,False,False,False,9967.786
1080,6,0,0,0,0,2013,9,15,True,False,False,False,5.687212
675,4,338,1,0,0,2014,9,26,True,False,False,False,3060.0273
1099,0,1236,1,1,0,2014,12,1,True,False,False,False,11380.339
791,0,858,1,0,0,2015,5,11,True,False,False,False,7479.1475
1014,1,1476,1,0,0,2015,3,24,True,False,False,False,12327.129
487,1,737,1,1,0,2014,11,4,True,False,False,False,8087.362
427,2,701,1,0,1,2013,2,13,True,False,False,False,6243.9277
254,4,282,1,1,0,2014,11,14,True,False,False,False,3336.4143
43,4,710,1,0,0,2014,1,31,True,False,False,False,6041.5107
1074,1,421,1,0,0,2015,6,9,True,False,False,False,3857.4143
549,5,380,1,0,0,2013,6,29,True,False,False,False,4223.0454
1095,1,720,1,1,0,2013,1,8,True,False,False,False,6232.731
295,0,612,1,0,1,2013,10,28,True,False,False,False,5019.849
319,0,863,1,0,1,2013,10,14,True,False,False,False,8166.5366
1002,3,642,1,0,0,2014,4,10,True,False,False,False,5100.208
448,5,544,1,0,0,2014,12,6,True,False,False,False,5585.3994
527,1,1046,1,0,1,2013,9,3,True,False,False,False,9762.937
255,4,652,1,1,0,2013,4,12,True,False,False,False,6337.0117
581,4,651,1,1,0,2014,7,4,True,False,False,False,6094.2334
185,5,550,1,0,0,2013,1,5,True,False,False,False,5463.2573
244,5,538,1,0,0,2014,11,22,True,False,False,False,4834.1514
1082,5,877,1,0,0,2013,1,5,True,False,False,False,6702.9917
216,4,837,1,1,0,2015,3,20,True,False,False,False,6806.4116
350,3,508,1,1,0,2015,3,5,True,False,False,False,6526.8164
748,0,822,1,1,0,2014,3,31,True,False,False,False,9353.965
718,0,962,1,0,0,2014,12,8,True,False,False,False,8094.3276
739,4,789,1,1,0,2014,2,21,True,False,False,False,8451.009
614,6,0,0,0,0,2014,12,21,True,False,False,False,0.78908235
673,1,615,1,1,0,2014,2,18,True,False,False,False,7322.5728
83,0,367,1,0,0,2013,6,10,True,False,False,False,3828.5051
976,2,598,1,0,0,2013,9,18,True,False,False,False,5215.574
637,5,518,1,0,0,2013,4,6,True,False,False,False,5136.7744
122,1,714,1,1,0,2014,1,7,True,False,False,False,7767.2603
898,0,1013,1,1,0,2014,11,24,True,False,False,False,10695.729
1080,3,710,1,0,0,2014,6,26,True,False,False,False,7193.7817
291,0,1290,1,1,0,2015,3,30,True,False,False,False,13469.918
24,3,711,1,0,1,2013,1,3,True,False,False,False,7159.2515
1096,6,0,0,0,0,2013,8,18,True,False,False,False,-111.53073
637,4,860,1,0,0,2014,5,30,True,False,False,False,8800.906
