store_ID,day_of_week,nb_customers_on_day,open,promotion,school_holiday,year,month,day,state_holiday_0,state_holiday_a,state_holiday_b,state_holiday_c,predict_value
415,6,0,0,0,0,2015,3,1,True,False,False,False,29.83083
27,6,0,0,0,0,2013,12,29,True,False,False,False,24.325462
404,2,657,1,1,0,2014,3,19,True,False,False,False,7093.778
683,1,862,1,0,0,2013,1,29,True,False,False,False,6637.054
920,2,591,1,1,0,2014,3,19,True,False,False,False,6369.587
758,3,569,1,0,0,2014,6,26,True,False,False,False,4972.923
563,0,321,1,1,0,2015,2,16,True,False,False,False,3825.8513
930,5,1367,1,0,0,2014,11,22,True,False,False,False,9287.586
756,3,0,0,1,0,2015,6,4,False,True,False,False,388.3708
49,1,546,1,1,0,2015,1,13,True,False,False,False,6948.2393
787,3,968,1,0,1,2015,7,23,True,False,False,False,8114.126
782,3,472,1,0,0,2013,9,19,True,False,False,False,4252.3037
897,6,0,0,0,0,2014,4,20,True,False,False,False,8.402467
933,0,965,1,0,0,2013,12,9,True,False,False,False,7404.1357
218,1,804,1,0,1,2015,4,7,True,False,False,False,6869.3286
554,2,499,1,1,1,2013,10,9,True,False,False,False,5695.182
362,0,1337,1,1,1,2013,8,12,True,False,False,False,12762.107
655,2,560,1,0,0,2014,4,9,True,False,False,False,5120.387
785,2,461,1,0,1,2014,12,31,True,False,False,False,4302.369
690,2,866,1,1,0,2014,3,19,True,False,False,False,8693.686
1103,6,0,0,0,0,2015,2,15,True,False,False,False,16.314552
431,0,1367,1,1,0,2014,6,2,True,False,False,False,12821.23
127,1,642,1,1,0,2013,9,24,True,False,False,False,7365.385
579,4,0,0,1,1,2013,3,29,False,False,True,False,-110.35328
248,5,1139,1,0,0,2013,8,3,True,False,False,False,8964.277
962,5,0,0,0,0,2014,1,11,True,False,False,False,-65.592545
224,1,515,1,1,1,2013,3,26,True,False,False,False,6287.747
208,2,355,1,1,1,2013,6,19,True,False,False,False,4249.325
401,0,1063,1,1,0,2015,3,30,True,False,False,False,10861.69
503,6,0,0,0,0,2013,9,29,True,False,False,False,-43.603073
221,3,562,1,1,0,2015,3,5,True,False,False,False,6149.8486
268,6,0,0,0,0,2014,11,2,True,False,False,False,-131.65553
799,1,927,1,1,1,2013,8,27,True,False,False,False,10261.022
260,5,894,1,0,0,2014,10,25,True,False,False,False,7471.687
1041,1,594,1,0,0,2015,3,10,True,False,False,False,4944.8574
350,1,533,1,1,0,2013,6,18,True,False,False,False,6453.88
286,6,0,0,0,0,2015,4,5,True,False,False,False,48.164604
620,1,709,1,1,0,2013,6,4,True,False,False,False,8140.551
521,0,484,1,1,0,2013,6,17,True,False,False,False,6014.432
649,3,435,1,1,0,2014,11,27,True,False,False,False,4976.544
1059,1,1239,1,1,0,2015,6,2,True,False,False,False,12176.163
486,5,373,1,0,0,2014,6,28,True,False,False,False,3758.8118
252,3,642,1,0,0,2013,10,17,True,False,False,False,5851.5986
656,2,421,1,1,0,2013,5,15,True,False,False,False,4980.9624
642,4,394,1,0,0,2014,9,12,True,False,False,False,3783.6357
655,4,761,1,1,0,2015,5,8,True,False,False,False,7486.7686
992,2,627,1,0,0,2013,6,26,True,False,False,False,5316.126
143,1,731,1,1,0,2015,6,2,True,False,False,False,8481.015
421,4,941,1,1,1,2014,7,18,True,False,False,False,8497.772
246,3,1157,1,1,0,2014,10,2,True,False,False,False,9931.001
960,0,720,1,1,0,2014,4,28,True,False,False,False,7873.1387
313,4,697,1,0,0,2014,1,17,True,False,False,False,5983.3823
291,5,534,1,0,0,2013,6,29,True,False,False,False,5020.2656
924,5,333,1,0,0,2014,5,31,True,False,False,False,3284.7942
337,1,430,1,1,1,2013,8,13,True,False,False,False,5285.4478
1024,3,607,1,0,0,2015,3,12,True,False,False,False,5150.992
56,2,402,1,1,0,2014,1,22,True,False,False,False,5241.61
507,2,532,1,0,0,2014,4,9,True,False,False,False,4819.3115
970,4,406,1,0,0,2013,3,15,True,False,False,False,3794.976
846,1,828,1,0,0,2015,6,23,True,False,False,False,6649.01
549,2,582,1,0,0,2014,8,27,True,False,False,False,5003.4463
1095,3,852,1,1,1,2013,3,28,True,False,False,False,8348.248
859,4,709,1,1,0,2013,4,12,True,False,False,False,6997.035
914,1,1178,1,1,1,2014,7,29,True,False,False,False,11650.389
888,1,634,1,0,0,2015,6,23,True,False,False,False,5433.395
442,1,517,1,1,0,2014,11,4,True,False,False,False,6189.7026
34,5,905,1,0,0,2013,3,9,True,False,False,False,7652.9253
199,3,581,1,0,0,2014,7,10,True,False,False,False,5254.9736
854,3,657,1,1,0,2015,6,4,False,True,False,False,6599.8037
611,1,485,1,1,0,2014,1,21,True,False,False,False,5979.5786
808,3,528,1,0,1,2015,4,9,True,False,False,False,5080.235
1105,3,410,1,0,0,2015,1,22,True,False,False,False,4129.45
866,4,445,1,0,0,2015,4,24,True,False,False,False,4233.3853
222,5,367,1,0,0,2013,9,28,True,False,False,False,3760.852
476,1,753,1,1,0,2013,9,24,True,False,False,False,8392.937
800,0,494,1,0,0,2014,5,26,True,False,False,False,4617.77
330,0,408,1,0,0,2014,3,24,True,False,False,False,3917.0515
507,2,648,1,1,0,2015,1,7,True,False,False,False,6930.2686
98,6,0,0,0,0,2013,6,2,True,False,False,False,22.615156
1026,1,1044,1,0,0,2014,1,28,True,False,False,False,8196.916
990,4,719,1,0,0,2013,10,4,True,False,False,False,5833.3774
8,5,345,1,0,0,2015,1,10,True,False,False,False,3488.159
611,2,566,1,1,1,2013,7,31,True,False,False,False,6351.0103
257,1,777,1,1,0,2013,8,13,True,False,False,False,8712.738
840,3,1189,1,1,0,2015,4,16,True,False,False,False,11120.581
848,4,998,1,1,1,2015,7,31,True,False,False,False,8902.497
124,5,297,1,0,0,2014,7,12,True,False,False,False,3033.5605
1028,1,438,1,0,1,2013,12,31,True,False,False,False,4241.0645
95,1,1099,1,1,0,2013,9,24,True,False,False,False,11275.861
208,0,323,1,0,0,2013,10,28,True,False,False,False,3209.3567
249,1,449,1,0,0,2014,7,8,True,False,False,False,4262.612
887,2,614,1,1,0,2013,3,20,True,False,False,False,6514.1147
73,0,601,1,1,1,2014,4,28,True,False,False,False,6961.89
13,3,501,1,1,1,2015,4,2,True,False,False,False,5506.8813
1049,1,580,1,0,1,2013,9,3,True,False,False,False,5349.139
144,3,769,1,1,0,2015,2,5,True,False,False,False,7846.372
847,2,1018,1,1,1,2013,8,14,True,False,False,False,9368.87
796,2,717,1,0,0,2013,5,8,True,False,False,False,6051.1885
396,3,1139,1,0,0,2015,6,11,True,False,False,False,8635.208
1080,6,0,0,0,0,2013,9,15,True,False,False,False,75.92465
675,4,338,1,0,0,2014,9,26,True,False,False,False,3414.8118
1099,0,1236,1,1,0,2014,12,1,True,False,False,False,10825.185
791,0,858,1,0,0,2015,5,11,True,False,False,False,7031.8184
1014,1,1476,1,0,0,2015,3,24,True,False,False,False,11336.255
487,1,737,1,1,0,2014,11,4,True,False,False,False,8262.419
427,2,701,1,0,1,2013,2,13,True,False,False,False,6014.2666
254,4,282,1,1,0,2014,11,14,True,False,False,False,3074.461
43,4,710,1,0,0,2014,1,31,True,False,False,False,6136.976
1074,1,421,1,0,0,2015,6,9,True,False,False,False,4048.8286
549,5,380,1,0,0,2013,6,29,True,False,False,False,3709.313
1095,1,720,1,1,0,2013,1,8,True,False,False,False,8049.067
295,0,612,1,0,1,2013,10,28,True,False,False,False,5624.0737
319,0,863,1,0,1,2013,10,14,True,False,False,False,7282.1016
1002,3,642,1,0,0,2014,4,10,True,False,False,False,5191.888
448,5,544,1,0,0,2014,12,6,True,False,False,False,5145.9814
527,1,1046,1,0,1,2013,9,3,True,False,False,False,9199.62
255,4,652,1,1,0,2013,4,12,True,False,False,False,6686.81
581,4,651,1,1,0,2014,7,4,True,False,False,False,6579.6523
185,5,550,1,0,0,2013,1,5,True,False,False,False,5258.548
244,5,538,1,0,0,2014,11,22,True,False,False,False,5061.958
1082,5,877,1,0,0,2013,1,5,True,False,False,False,7377.035
216,4,837,1,1,0,2015,3,20,True,False,False,False,8040.863
350,3,508,1,1,0,2015,3,5,True,False,False,False,5758.303
748,0,822,1,1,0,2014,3,31,True,False,False,False,9299.4375
718,0,962,1,0,0,2014,12,8,True,False,False,False,7781.651
739,4,789,1,1,0,2014,2,21,True,False,False,False,7987.209
614,6,0,0,0,0,2014,12,21,True,False,False,False,17.832376
673,1,615,1,1,0,2014,2,18,True,False,False,False,7005.397
83,0,367,1,0,0,2013,6,10,True,False,False,False,3723.3992
976,2,598,1,0,0,2013,9,18,True,False,False,False,5147.919
637,5,518,1,0,0,2013,4,6,True,False,False,False,5080.2144
122,1,714,1,1,0,2014,1,7,True,False,False,False,8231.083
898,0,1013,1,1,0,2014,11,24,True,False,False,False,10408.278
1080,3,710,1,0,0,2014,6,26,True,False,False,False,6044.707
291,0,1290,1,1,0,2015,3,30,True,False,False,False,12374.155
24,3,711,1,0,1,2013,1,3,True,False,False,False,6282.543
1096,6,0,0,0,0,2013,8,18,True,False,False,False,56.545925
637,4,860,1,0,0,2014,5,30,True,False,False,False,7819.137
1002,1,850,1,1,0,2015,6,2,True,False,False,False,8941.362
666,0,497,1,0,0,2014,3,10,True,False,False,False,4577.467
1089,6,0,0,0,0,2013,11,24,True,False,False,False,61.541164
334,5,515,1,0,0,2013,8,31,True,False,False,False,4962.2017
300,5,951,1,0,1,2014,8,30,True,False,False,False,7787.158
207,0,1166,1,0,0,2014,9,22,True,False,False,False,8850.645
683,2,854,1,0,0,2015,5,27,True,False,False,False,6587.6055
1094,1,394,1,1,0,2013,5,14,True,False,False,False,5113.1406
700,3,576,1,0,0,2015,7,9,True,False,False,False,5357.457
959,1,744,1,0,0,2014,8,26,True,False,False,False,5975.5586
766,6,0,0,0,0,2014,6,22,True,False,False,False,-15.584313
1011,5,977,1,0,0,2013,6,8,True,False,False,False,7768.5186
570,4,676,1,0,0,2013,12,13,True,False,False,False,5350.7246
685,1,689,1,1,0,2013,9,10,True,False,False,False,7910.9746
158,2,681,1,1,1,2014,4,16,True,False,False,False,7721.3706
66,4,522,1,0,1,2015,5,29,True,False,False,False,4832.4805
76,1,1080,1,1,0,2013,7,30,True,False,False,False,11208.637
572,2,458,1,0,0,2013,10,16,True,False,False,False,4603.105
